French,English,Pronunciation,Part of speech
régler,"1. conduct, direct, guide, head, lead",ʀegle,v
régler,"2. arrange, put in order, tidy",ʀegle,v
régler,3. regulate,ʀegle,v
moindre,"lesser, lower",mwɛ̃dʀ,adj
compter,"calculate, count, figure, work out",kɔ̃te,v
énergie,energy,enɛʀʒi,"n, fem"
fil,1. wire,fil,"n, masc"
fil,2. thread,fil,"n, masc"
lycée,lyceum,lise,"n, fem"
crise,"crisis, depression, emergency",kʀiz,"n, fem"
image,"image, picture",imaʒ,"n, fem"
vérifier,"audit, check, check up on, supervise, verify",veʀifje,v
dimanche,Sunday,dimɑ̃ʃ,"n, masc"
appareil,"apparatus, device, set",apaʀɛj,"n, masc"
justement,"1. exactly, sharp",ʒystəmɑ̃,adv
justement,"2. just, just now",ʒystəmɑ̃,adv
enlever,"1. take off, put off, remove",ɑ̃ləve,vt
enlever,"2. put away, store",ɑ̃ləve,vt
honnête,"1. above-board, honest",onɛt,adj
honnête,"2. faithful, loyal",onɛt,adj
prouver,prove,pʀuve,v
durant,"for, during, whereas, while, whilst",dyʀɑ̃,prep
souris,mouse,suʀi,"n, fem"
lever,"lever, lift, raise",ləve,v
oiseau,bird,wazo,"n, masc"
morceau,"bit, lump, piece",mɔʀso,"n, masc"
amène,"affable, friendly, good-natured, kind",amɛn,adj
interdit,prohibition,ɛ̃tɛʀdi,"n, masc"
présence,presence,pʀezɑ̃s,"n, fem"
récupérer,"recover, retrieve",ʀekypeʀe,v
quelles,1. who,kɛl,
quelles,2. which,kɛl,
cou,neck,ku,"n, masc"
étage,"floor, storey, story",etaʒ,"n, masc"
regard,look,ʀəgaʀ,"n, masc"
bouger,"move, stir, budge",buʒe,v
finalement,"at last, finally, ultimately, at long last",finaləmɑ̃,adv
couper,"cut, slice",kupe,v
ancien,"1. ex-, former",ɑ̃sjɛ̃,adj
ancien,2. old,ɑ̃sjɛ̃,adj
obtenir,"get, procure",ɔptəniʀ,v
toit,roof,twa,"n, masc"
jardin,garden,ʒaʀdɛ̃,"n, masc"
métier,"handicraft, occupation, trade",metje,"n, masc"
poche,pocket,pɔʃ,"n, fem"
méchant,1. cruel,meʃɑ̃,adj
méchant,"2. bad, miserable, nasty, poor",meʃɑ̃,adj
méchant,"3. malicious, mischievous, vicious",meʃɑ̃,adj
paradis,paradise,paʀadi,"n, masc"
proche,"close, near, nearby, next",pʀɔʃ,adj
rejoindre,"be similar, resemble",ʀəʒwɛ̃dʀ,v
lors,"1. for, during, whereas, while, whilst",lɔʀ,prep
lors,2. on the occasion of,lɔʀ,prep
nombre,"amount, number",nɔ̃bʀ,"n, masc"
règle,"regulation, rule",ʀɛgl,"n, fem"
frapper,"1. beat, knock",fʀape,v
frapper,"2. catch, hit, run across, strike",fʀape,v
intention,"intention, meaning, plan",ɛ̃tɑ̃tjɔ̃,"n, fem"
succès,"achievement, success",syksɛ,"n, masc"
campagne,1. campaign,kɑ̃panj,"n, fem"
campagne,"2. country, countryside",kɑ̃panj,"n, fem"
malgré,"despite, in spite of, notwithstanding",malgʀe,prep
alcool,alcohol,alkɔl,"n, masc"
théâtre,theatre,teatʀ,"n, masc"
vôtre,yours,votʀ,pron
samedi,Saturday,samədi,"n, masc"
pluie,rain,plɥi,"n, fem"
relation,"1. relation, understanding",ʀəlasjɔ̃,"n, fem"
relation,2. acquaintance,ʀəlasjɔ̃,"n, fem"
relation,"3. account, narrative, story, tale",ʀəlasjɔ̃,"n, fem"
relation,"4. record, report",ʀəlasjɔ̃,"n, fem"
restaurant,restaurant,ʀɛstɔʀɑ̃,"n, masc"
maladie,"sickness, illness, disease",maladi,"n, fem"
dessous,"below, downstairs, underneath",dɛsu,adv
assurer,1. insure,asyʀe,v
assurer,"2. affirm, assure",asyʀe,v
assurer,"3. guarantee, warrant",asyʀe,v
assurer,"4. accomplish, achieve, keep, observe, perform",asyʀe,v
assurer,5. promise,asyʀe,v
assurer,6. protect,asyʀe,v
bouteille,bottle,butɛj,"n, fem"
gare,"stage, station, stop",gaʀ,"n, fem"
falloir,1.,falwaʀ,v
falloir,"""Il faut quelque chose""",falwaʀ,v
falloir,We need something,falwaʀ,v
falloir,,falwaʀ,v
falloir,2.,falwaʀ,v
falloir,"""Il faut faire""",falwaʀ,v
falloir,You have to,falwaʀ,v
falloir,,falwaʀ,v
falloir,3.,falwaʀ,v
falloir,"""Il faut que""",falwaʀ,v
falloir,It is necessary that,falwaʀ,v
étranger,"foreign, strange",etʀɑ̃ʒe,adj
queue,"1. stalk, stem",kø,"n, fem"
queue,2. tail,kø,"n, fem"
odeur,"odor, odour, scent, smell",odœʀ,"n, fem"
produit,1. thing,pʀodɥi,"n, masc"
produit,2. income,pʀodɥi,"n, masc"
produit,"3. agent, means, tool",pʀodɥi,"n, masc"
produit,"4. commodity, merchandise, wares",pʀodɥi,"n, masc"
pression,pressure,pʀɛsjɔ̃,"n, fem"
fatigué,tired,fatige,adj
plage,beach,plaʒ,"n, fem"
animal,1. animal,animal,"n, masc"
animal,2. beast,animal,"n, masc"
montagne,1. mountain chain,mɔ̃tagn,"n, fem"
montagne,2. mountain,mɔ̃tagn,"n, fem"
coffre,"1. box, chest",kɔfʀ,"n, masc"
coffre,2. trunk,kɔfʀ,"n, masc"
passage,"passage, way",pasaʒ,"n, masc"
suivant,"1. hind, hindmost",sɥivɑ̃,adj
suivant,2. next,sɥivɑ̃,adj
suivant,3. following,sɥivɑ̃,adj
signal,"mark, sign, signal, token",sinjal,"n, masc"
discours,speech,diskuʀ,"n, masc"
rivière,river,ʀivjɛʀ,"n, fem"
costume,"costume, outfit, suit",kostym,"n, masc"
hasard,"accidence, chance, hazard",azaʀ,"n, masc"
aveugle,blind,avœgl,adj
lis,lily,lis,"n, masc"
retraite,"pension, retirement",ʀətʀɛt,"n, fem"
vendredi,Friday,vɑ̃dʀədi,"n, masc"
neige,snow,nɛʒ,"n, fem"
remercier,thank,ʀəmɛʀsje,v
fusil,"gun, rifle",fyzi,"n, masc"
faible,"faint, light, weak",fɛbl,adj
gâteau,cake,gato,"n, masc"
viande,meat,vjɑ̃d,"n, fem"
ministre,minister,ministʀ,"n, masc"
univers,universe,ynivɛʀ,"n, masc"
utile,"advantageous, useful",ytil,adj
décider,decide,deside,v
gaz,gas,gaz,"n, masc"
connaissance,1. acquaintance,konɛsɑ̃s,"n, fem"
connaissance,2. knowledge,konɛsɑ̃s,"n, fem"
connaissance,"3. awareness, consciousness",konɛsɑ̃s,"n, fem"
bataille,"1. action, battle, scuffle, struggle",bataj,"n, fem"
bataille,2. blow,bataj,"n, fem"
os,bone,os,"n, masc"
date,date,dat,"n, fem"
échapper,"escape, flee",eʃape,v
naissance,birth,nɛsɑ̃s,"n, fem"
génie,genius,ʒeni,"n, fem"
agir,"1. act, take action",aʒiʀ,v
agir,"2. be effective, have effect",aʒiʀ,v
militaire,warrior,militɛʀ,"n, fem"
futur,future,fytyʀ,"n, masc"
attraper,"capture, catch, grapple",atʀape,v
bal,"ball, dance",bal,"n, masc"
cousin,1. gnat,kuzɛ̃,"n, masc"
cousin,2. cousin,kuzɛ̃,"n, masc"
vert,green,vɛʀ,adj
poids,weight,pwa,"n, masc"
volonté,"will, willingness, wish",vɔlɔ̃te,"n, fem"
ventre,"abdomen, belly, tummy",vɑ̃tʀ,"n, masc"
recevoir,"1. accept, receive, take, take in",ʀəsəvwaʀ,v
recevoir,"2. get, have",ʀəsəvwaʀ,v
autrement,differently,otʀəmɑ̃,adv
titre,"1. certificate, diploma, document",titʀ,"n, masc"
titre,"2. degree, heading, title",titʀ,"n, masc"
célèbre,famous,selɛbʀ,adj
couple,"1. couple, married people",kupl,"n, masc"
couple,2. pair,kupl,"n, masc"
star,"celebrity, star",staʀ,"n, fem"
charmant,"charming, lovely",ʃaʀmɑ̃,adj
puissant,1. strong,pɥisɑ̃,adj
puissant,2. powerful,pɥisɑ̃,adj
zéro,"naught, nought, null, zero, zilch",zeʀo,"n, masc"
mine,expression,min,"n, fem"
style,style,stil,"n, masc"
embrasser,1. embrace,ɑ̃bʀase,v
embrasser,2. kiss,ɑ̃bʀase,v
amener,"bring, fetch",aməne,v
valeur,"value, worth",valœʀ,"n, fem"
fortune,"destiny, fate, fortune, luck",foʀtyn,"n, fem"
reprendre,"1. censure, criticize",ʀəpʀɑ̃dʀ,v
reprendre,2. repay,ʀəpʀɑ̃dʀ,v
reprendre,"3. blame, rebuke, reproach, reprove, scold",ʀəpʀɑ̃dʀ,v
note,"account, bill, calculation",nɔt,"n, fem"
aéroport,airport,aeʀɔpɔʀ,"n, masc"
prévenir,prevent,pʀɛvniʀ,v
château,castle,ʃato,"n, masc"
apparemment,"apparently, seemingly",apaʀamɑ̃,adv
privé,private,pʀive,adj
direct,"direct, straight",diʀɛkt,adj
commande,order,kɔmɑ̃d,"n, fem"
fer,iron,fe,"n, masc"
conscience,1. conscience,kɔ̃sjɑ̃s,"n, fem"
conscience,"2. awareness, consciousness",kɔ̃sjɑ̃s,"n, fem"
conversation,conversation,kɔ̃vɛʀsasjɔ̃,"n, fem"
article,"article, commodity",aʀtikl,"n, masc"
poulet,"chicken, hen",pulɛ,"n, masc"
gorge,1. throat,gɔʀʒ,"n, fem"
gorge,2. breast,gɔʀʒ,"n, fem"
tribunal,tribunal,tʀibynal,"n, masc"
découvrir,"discover, uncover",dekuvʀiʀ,v
agréable,"agreeable, enjoyable, lovely, nice, pleasant",agʀeabl,adj
nerveux,"agitated, nervous",nɛʀvø,adj
saint,"holy, sacred",sɛ̃,adj
joindre,1. add,ʒwɛ̃dʀ,v
joindre,"2. adjust, put right",ʒwɛ̃dʀ,v
joindre,"3. join, unite",ʒwɛ̃dʀ,v
joindre,4. connect,ʒwɛ̃dʀ,v
joindre,5. put together,ʒwɛ̃dʀ,v
joindre,"6. link together, link up",ʒwɛ̃dʀ,v
sentiment,1. sentiment,sɑ̃timɑ̃,"n, masc"
sentiment,"2. feel, feeling, sensation",sɑ̃timɑ̃,"n, masc"
acte,1. act,akt,"n, masc"
acte,"2. certificate, diploma, document",akt,"n, masc"
pis,udder,pi,"n, masc"
doigt,finger,dwa,"n, masc"
horreur,"abhorrence, abomination, atrocity, horror",ɔʀœʀ,"n, fem"
violence,violence,vjɔlɑ̃s,"n, fem"
fumer,1. smoke,fyme,v
fumer,2. fertilize,fyme,v
salon,"lounge, parlour, salon, sitting-room",salɔ̃,"n, masc"
défendre,defend,defɑ̃dʀ,v
apporter,"bring, fetch",apɔʀte,v
repos,"1. calmness, quietness",ʀəpo,"n, masc"
repos,"2. calm, quiet, silence",ʀəpo,"n, masc"
repos,"3. break, intermission, pause, recess",ʀəpo,"n, masc"
repos,"4. repose, rest",ʀəpo,"n, masc"
repos,5. composure,ʀəpo,"n, masc"
paquet,"1. packet, parcel",pakɛ,"n, masc"
paquet,2. pack,pakɛ,"n, masc"
page,page,paʒ,"n, fem"
sage,"1. prudent, reasonable, sensible",saʒ,adj
sage,"2. sagacious, sage, wise",saʒ,adj
intelligent,"intelligent, sagacious",ɛ̃tɛliʒɑ̃,adj
ombre,1. shadow,ɔ̃bʀ,"n, fem"
ombre,2. shade,ɔ̃bʀ,"n, fem"
vache,cow,vaʃ,"n, fem"
désert,"dreary, gaunt, deserted",dezɛʀ,adj
forêt,"forest, woods",foʀɛ,"n, fem"
série,"series, set",seʀi,"n, fem"
champion,champion,ʃɑ̃pjɔ̃,"n, masc"
lundi,Monday,lydi,"n, masc"
moteur,"engine, motor",motœʀ,"n, masc"
mince,"gaunt, lean, slender, thin",mɛ̃s,adj
russe,"Russian, Russian language",ʀys,adj
ordinateur,computer,oʀdinatœʀ,"n, masc"
accepté,accepted,aksɛpte,adj
désormais,"from now on, henceforth",dezɔʀmɛ,adv
acteur,actor,aktœʀ,"n, masc"
miracle,miracle,miʀakl,"n, fem"
manquer,"1. be lacking, be missing",mɑ̃ke,v
manquer,2. miss,mɑ̃ke,v
cigarette,cigarette,sigaʀɛt,"n, fem"
chemise,1. folder,ʃəmiz,"n, fem"
chemise,2. shirt,ʃəmiz,"n, fem"
mark,mark,maʀk,"n, fem"
tente,tent,tɑ̃t,"n, fem"
billet,"bill, ticket, note",bijɛ,"n, masc"
unité,1. unity,ynite,"n, fem"
unité,2. unit,ynite,"n, fem"
champagne,champagne,ʃɑ̃panj,"n, masc"
partager,"divide, separate, share",paʀtaʒe,v
puissance,"1. force, strength",pɥisɑ̃s,"n, masc"
puissance,2. power,pɥisɑ̃s,"n, masc"
puissance,"3. realm, state",pɥisɑ̃s,"n, masc"
nombreux,many,nɔ̃bʀø,adj
réparer,"fix, repair",ʀepaʀe,v
sommeil,sleep,sɔmej,"n, masc"
essence,"gasolene, gasoline, petrol",ɛsɑ̃s,"n, fem"
lac,"lake, loch",lak,"n, masc"
maire,1. mayor,mɛʀ,"n, masc"
maire,"2. burgomaster, provost",mɛʀ,"n, masc"
mode,"fashion, mode",mɔd,"n, fem"
vingt,twenty,vɛ̃,num
amusant,"amusing, entertaining, funny",amyzɑ̃,adj
leçon,"1. class, course",ləsɔ̃,"n, fem"
leçon,2. lesson,ləsɔ̃,"n, fem"
annonce,"ad, advertisement",anɔ̃s,"n, fem"
usine,"factory, mill",yzin,"n, fem"
imaginer,"fancy, imagine",imaʒine,v
chauffeur,"chauffeur, driver",ʃofœʀ,"n, masc"
marque,mark,maʀk,"n, fem"
parc,park,paʀk,"n, masc"
créer,create,kʀee,v
signer,sign,sinje,v
artiste,artist,aʀtist,"n, masc"
réveiller,"arouse, wake, awaken, wake up",ʀeveje,v
hiver,winter,ive,"n, masc"
également,equally,egalmɑ̃,adv
souffle,1. inspiration,sufl,"n, masc"
souffle,2. breath,sufl,"n, masc"
fuir,"1. flee, run away",fɥiʀ,v
fuir,2. leak,fɥiʀ,v
permission,"1. furlough, leave, pass",pɛʀmisjɔ̃,"n, fem"
permission,2. permission,pɛʀmisjɔ̃,"n, fem"
casser,break,kase,vt
mentir,"lie, tell a lie",mɑ̃tiʀ,v
souci,1. sadness,susi,"n, fem"
souci,2. marigold,susi,"n, fem"
souci,"3. care, concern",susi,"n, fem"
paye,payment,pɛj,"n, fem"
chair,flesh,ʃɛʀ,"n, fem"
caisse,"1. cashier's stand, fund, money box, money-box, till",kɛs,"n, masc"
caisse,"2. box, chest",kɛs,"n, masc"
lunettes,"glasses, spectacles",lynɛt,"n, fem"
chouette,owl,ʃuɛt,"n, fem"
menteur,liar,mɑ̃tœʀ,"n, masc"
whisky,"whisky, whiskey",wiski,"n, masc"
pantalon,trousers,pɑ̃talɔ̃,"n, masc"
menace,"menace, threat",mənas,"n, fem"
douche,shower,duʃ,"n, fem"
débarrasser,rid,debaʀase,v
membre,"limb, member",mɑ̃bʀ,"n, masc"
perte,loss,pɛʀt,"n, fem"
front,"1. front, battlefront, frontage",fʀɔ̃,"n, masc"
front,2. forehead,fʀɔ̃,"n, masc"
mai,May,mɛ,"n, masc"
monnaie,"change, coin",monɛ,"n, fem"
chou,cabbage,ʃu,"n, masc"
secrétaire,secretary,səkʀɛtɛʀ,"n, masc"
chaise,chair,ʃɛz,"n, fem"
herbe,1. grass,ɛʀb,"n, fem"
herbe,2. herb,ɛʀb,"n, fem"
manteau,"1. cloak, mantle",mɑ̃to,"n, fem"
manteau,"2. coat, overcoat",mɑ̃to,"n, fem"
chocolat,chocolate,ʃɔkɔla,"n, masc"
pause,"break, intermission, pause, recess",poz,"n, fem"
côte,"1. acclivity, hillside, slope",kot,"n, fem"
côte,"2. coast, seaside, shore",kot,"n, fem"
abandonner,"1. cede, give in, give up, give way, relinquish, yield",abɑ̃dɔne,v
abandonner,"2. abandon, forsake, desert, leave, quit",abɑ̃dɔne,v
abandonner,"3. resign, renounce",abɑ̃dɔne,v
policier,policeman,pɔlisje,"n, masc"
patient,patient,pasjɑ̃,"n, masc"
ballon,"1. balloon, air-balloon",balɔ̃,"n, masc"
ballon,"2. football, soccer ball",balɔ̃,"n, masc"
mouvement,movement,muvəmɑ̃,"n, masc"
japonais,"Japanese, Japanese language",ʒapɔnɛ,adj
accès,"1. aggression, attack",aksɛ,"n, masc"
accès,"2. access, admission, admittance",aksɛ,"n, masc"
poupée,"doll, puppet",pupe,"n, fem"
innocent,"guiltless, innocent",inosɑ̃,adj
véritable,true,veʀitabl,adj
totalement,"at all, entirely, quite, wholly",totaləmɑ̃,adv
piège,"snare, trap",pjɛʒ,"n, masc"
gloire,"1. fame, glory, renown",glwaʀ,"n, fem"
gloire,2. merit,glwaʀ,"n, fem"
gloire,"3. glamor, glamour, prestige",glwaʀ,"n, fem"
abri,1. asylum,abʀi,"n, masc"
abri,"2. bunker, shelter",abʀi,"n, masc"
abri,"3. penthouse, shed",abʀi,"n, masc"
abri,4. place of refuge,abʀi,"n, masc"
rapidement,"1. fast, quickly, swiftly",ʀapidəmɑ̃,adv
rapidement,2. shallowly,ʀapidəmɑ̃,adv
foule,1. crush,ful,"n, fem"
foule,"2. accumulation, crowd, heap, mass, multitude, pile",ful,"n, fem"
source,"fountain, source, spring",suʀs,"n, fem"
lancer,launch,lɑ̃se,v
choc,1. collision,ʃɔk,"n, masc"
choc,2. shock,ʃɔk,"n, masc"
veste,jacket,vɛst,"n, fem"
attaquer,1. commit aggression,atake,v
attaquer,"2. assault, attack",atake,v
oreille,ear,ɔʀɛj,"n, fem"
malheureusement,"alas, regrettably, unfortunately",maløʀøzmɑ̃,adv
soudain,"abrupt, sudden",sudɛ̃,adj
bref,"short, brief",bʀɛf,adj
malheur,"adversity, bad luck, misfortune",malœʀ,"n, masc"
mensonge,lie,mɑ̃sɔ̃ʒ,"n, masc"
heureusement,fortunately,øʀøzmɑ̃,adv
emploi,"function, job, office, post",ɑ̃plwa,"n, masc"
nettoyer,clean,nɛtwaje,v
geste,gesture,ʒɛst,"n, masc"
plat,"dish, meal, course",pla,"n, masc"
corde,"cord, rope, string",kɔʀd,"n, fem"
siècle,"centennial, century",sjɛkl,"n, masc"
distance,"distance, offset",distɑ̃s,"n, fem"
mars,March,maʀ,"n, fem"
saison,1. autumn,sɛzɔ̃,"n, fem"
saison,2. season,sɛzɔ̃,"n, fem"
alerte,1. alarm,alɛʀt,"n, fem"
alerte,"2. adroit, agile, alert, brisk, keen",alɛʀt,"n, fem"
couverture,"1. cover, hood, lid",kuvɛʀtyʀ,"n, fem"
couverture,2. blanket,kuvɛʀtyʀ,"n, fem"
mesure,"1. measure, measurement",məzyʀ,"n, fem"
mesure,"2. musical time, tact",məzyʀ,"n, fem"
atteindre,"1. accomplish, achieve, attain, get, reach",atɛ̃dʀ,v
atteindre,"2. catch, hit, run across, strike",atɛ̃dʀ,v
singe,"ape, monkey",sɛ̃ʒ,"n, masc"
pistolet,"pistol, spray gun",pistɔlɛ,"n, masc"
frontière,1. border,fʀɔ̃tjɛʀ,"n, fem"
frontière,"2. boundary, frontier, limit",fʀɔ̃tjɛʀ,"n, fem"
réel,"1. actual, practical, real",ʀeɛl,adj
réel,2. true,ʀeɛl,adj
somme,"amount, sum",sɔm,"n, fem"
ours,bear,uʀ,"n, masc"
évidemment,"apparently, obviously",evidamɑ̃,adv
allemand,"German, German language",aləmɑ̃,adj
couche,layer,kuʃ,"n, fem"
navire,"ship, vessel",naviʀ,"n, masc"
aube,"dawn, daybreak",ob,"n, fem"
demi,half,dəmi,"n, masc"
affreux,"1. repellent, repelling, repulsive",afʀø,adj
affreux,"2. dismal, dreary, horrible, nasty",afʀø,adj
affreux,"3. abysmal, dreadful, gruesome, terrible",afʀø,adj
camarade,"buddy, companion, comrade, pal",kamaʀad,"n, masc"
tableau,"index, table, tablet, tabulation",tablo,"n, masc"
entreprise,"orginisation, enterprise",ɑ̃tʀəpʀiz,"n, fem"
directement,"1. directly, straight ahead",diʀɛktəmɑ̃,adv
directement,"2. at once, instantly, immediately, without delay",diʀɛktəmɑ̃,adv
prisonnier,prisoner,pʀizɔnje,"n, masc"
étoile,star,etwal,"n, fem"
convaincre,"convince, persuade",kɔ̃vɛ̃kʀ,v
bosse,"bump, hump",bos,"n, fem"
pousser,"1. chase, drive, drive on, impel, shoo",puse,v
pousser,"2. push, thrust",puse,v
protection,protection,pʀotɛksjɔ̃,"n, fem"
crier,"cry out, scream, shout",kʀie,v
respirer,breathe,ʀɛspiʀe,v
propriétaire,"owner, landlord, landlady",pʀɔpʀijetɛʀ,"n, masc"
prêtre,"1. clergyman, pastor, priest",pʀɛtʀ,"n, masc"
taire,"keep oneself concealed, stay hidden",tɛʀ,vt
permettre,"accord, admit, afford, allow, permit",pɛʀmɛtʀ,v
prudent,"1. prudent, reasonable, sensible",pʀydɑ̃,adj
prudent,"2. careful, cautious",pʀydɑ̃,adj
chaîne,"1. fetter, shackle",ʃɛn,"n, fem"
chaîne,2. chain,ʃɛn,"n, fem"
sec,dry,sɛk,adj
laver,wash,lave,v
trompe,"proboscis, trunk",tʀɔ̃p,"n, masc"
immeuble,1. mansion,imœbl,"n, masc"
immeuble,2. building,imœbl,"n, masc"
supporter,"abide, endure, withstand",sypɔʀte,v
tir,"fire, gunshot",tiʀ,"n, masc"
déranger,"1. disquiet, interfere with, perturb",deʀɑ̃ʒe,v
déranger,"2. bother, disturb, hinder, trouble",deʀɑ̃ʒe,v
réserve,"1. box-room, storage room",ʀezɛʀv,"n, fem"
réserve,2. pantry,ʀezɛʀv,"n, fem"
réserve,3. supply,ʀezɛʀv,"n, fem"
volant,steering-wheel,vɔlɑ̃,"n, masc"
uniforme,uniform,ynifɔʀm,"n, masc"
souffrir,"abide, bear, endure, put up with, suffer",sufʀiʀ,v
valise,suitcase,valiz,"n, fem"
assurance,1. insurance,asyʀɑ̃s,"n, fem"
assurance,2. certainty,asyʀɑ̃s,"n, fem"
abandonné,1. abandoned,abɑ̃dɔne,adj
abandonné,2. helpless,abɑ̃dɔne,adj
lapin,rabbit,lapɛ̃,"n, masc"
fleur,"bloom, flower",flœʀ,"n, fem"
information,an item of information,ɛ̃fɔʀmasjɔ̃,"n, fem"
foyer,hearth,fwaje,"n, fem"
personnage,1. person,pɛʀsonaʒ,"n, masc"
personnage,2. character,pɛʀsonaʒ,"n, masc"
amitié,friendship,amitje,"n, fem"
hâte,1. haste,at,"n, fem"
hâte,2. speed,at,"n, fem"
opinion,opinion,opinjɔ̃,"n, masc"
curieux,"1. curious, interesting, quaint",kyʀjø,adj
curieux,"2. agog, inquisitive",kyʀjø,adj
concert,concert,kɔ̃sɛʀ,"n, masc"
extraordinaire,"extraordinary, formidable",ɛkstʀaoʀdinɛʀ,adj
davantage,more,davɑ̃taʒ,adv
porc,1. pork,pɔʀ,"n, masc"
porc,"2. hog, pig, swine",pɔʀ,"n, masc"
chèque,"check, cheque",ʃɛk,"n, masc"
piano,piano,pjano,"n, masc"
océan,ocean,ɔseɑ̃,"n, masc"
trace,"trace, track",tʀas,"n, fem"
soupe,soup,sup,"n, fem"
sucre,sugar,sykʀ,"n, masc"
vierge,"1. virgin, virginal",vjɛʀʒ,adj
vierge,"2. clean, blank",vjɛʀʒ,adj
objet,"article, object, thing",ɔbʒɛ,"n, masc"
adorable,adorable,adɔʀabl,adj
réputation,"1. fame, renown",ʀepytasjɔ̃,"n, fem"
réputation,"2. hearsay, repute, rumor, rumour",ʀepytasjɔ̃,"n, fem"
réputation,3. glory,ʀepytasjɔ̃,"n, fem"
réputation,4. reputation,ʀepytasjɔ̃,"n, fem"
sport,sport,spɔʀ,"n, masc"
brave,"brave, gallant",bʀav,adj
second,second,səgɔ̃,adj
facilement,easily,fasiləmɑ̃,adv
canon,cannon,kanɔ̃,"n, masc"
bague,ring,bag,"n, masc"
bâtiment,building,batimɑ̃,"n, masc"
cellule,cell,sɛlyl,"n, fem"
survivre,survivor,syʀvivʀ,"n, masc"
printemps,"spring, springtime",pʀɛ̃tɑ̃,"n, masc"
retirer,1. take off (clothes),ʀətiʀe,v
retirer,"2. draw back, withdraw",ʀətiʀe,v
théorie,theory,teɔʀi,"n, fem"
studio,"1. atelier, studio, work-room, workshop",stydjo,"n, masc"
exploser,explode,ɛksploze,v
fiancée,"bride, fiancée",fjɑ̃se,"n, fem"
évident,"evident, obvious",evidɑ̃,adj
accusé,"accused, defendant",akyze,"n, masc"
désir,"desire, want, wish",deziʀ,"n, masc"
magie,magic,maʒi,"n, fem"
palais,palace,palɛ,"n, masc"
cirque,circus,siʀk,"n, masc"
cinglé,crazy,sɛ̃gle,adj
station,"stage, station, stop",stasjɔ̃,"n, fem"
construire,"1. achieve, act, do, make, perform",kɔ̃stʀɥiʀ,v
construire,2. install,kɔ̃stʀɥiʀ,v
construire,"3. build, construct",kɔ̃stʀɥiʀ,v
siège,1. chair,sjɛʒ,"n, masc"
siège,2. seat,sjɛʒ,"n, masc"
siège,3. siege,sjɛʒ,"n, masc"
sombre,"1. bleak, dismal, dreary, gaunt, miserable, sad, somber",sɔ̃bʀ,adj
sombre,"2. dark, dim",sɔ̃bʀ,adj
sombre,3. melancholy,sɔ̃bʀ,adj
sombre,"4. desolate, gloomy, mournful",sɔ̃bʀ,adj
lourd,"burdensome, heavy, onerous",luʀ,adj
égal,"equal, even, level",egal,adj
terme,1. expression,tɛʀm,"n, masc"
terme,2. term,tɛʀm,"n, masc"
poule,"chicken, fowl",pul,"n, fem"
soif,thirst,swaf,"n, fem"
surveiller,"1. advert, pay attention, pay attention to, watch out for",syʀvɛje,v
surveiller,"2. audit, check, check up on, supervise, verify",syʀvɛje,v
surveiller,"3. control, govern, restrain, rule",syʀvɛje,v
marin,"1. maritime, sea, sea-, of the sea",maʀɛ̃,"n, masc"
marin,2. sailor,maʀɛ̃,"n, masc"
procureur,public prosecutor,pʀokyʀœʀ,"n, masc"
résultat,"1. conclusion, effect, result",ʀezylta,"n, masc"
gardien,guard,gaʀdi,"n, masc"
avancer,"1. advance, go forward",avɑ̃se,v
avancer,2. precede,avɑ̃se,v
avancer,3. progress,avɑ̃se,v
commun,"common, joint",kɔmœ̃,adj
pêche,peach,pɛʃ,"n, fem"
tien,your,ti,pron
libérer,release,libeʀe,v
matériel,material,mateʀjɛl,"n, masc"
crâne,skull,kʀan,"n, masc"
région,region,ʀeʒjɔ̃,"n, fem"
science,science,sjɑ̃s,"n, fem"
délicieux,"delightful, lovely",delisjø,adj
créature,creature,kʀeatyʀ,"n, fem"
liquide,liquid,likid,
gay,1. gay,gɛ,adj
gay,2. homosexual,gɛ,adj
péché,"sin, transgression",peʃe,"n, masc"
répéter,repeat,ʀepete,v
auprès,"close, near, nearby",opʀɛ,adj
tâche,"job, assigned job, task",taʃ,"n, fem"
mener,"conduct, guide, lead",məne,v
modèle,1. model,modɛl,"n, masc"
modèle,2. type,modɛl,"n, masc"
modèle,"3. pattern, stencil, template, templet",modɛl,"n, masc"
traiter,"deal with, handle, treat",tʀɛte,v
secteur,sector,sɛktœʀ,"n, masc"
barre,"pole, rod",baʀ,"n, fem"
roman,novel,ʀomɑ̃,"n, masc"
veille,"watch, wakefullness",vɛj,"n, fem"
étudier,study,etydje,v
tenue,"1. platform, stage",təny,"n, fem"
tenue,"2. control, reign, rule",təny,"n, fem"
physique,physics,fizik,"n, fem"
concours,"competition, contest",kɔ̃kuʀ,"n, masc"
jaune,yellow,ʒon,adj
inconnu,1. anonymous writer,ɛ̃kony,"n, masc"
inconnu,"2. foreigner, stranger",ɛ̃kony,"n, masc"
inconnu,3. unknown,ɛ̃kony,"n, masc"
vision,vision,vizjɔ̃,"n, fem"
lentement,"leasurely, slowly",lɑ̃təmɑ̃,adv
surface,surface,syʀfas,"n, fem"
empire,1. empire,ɑ̃piʀ,"n, masc"
empire,"2. action, influence",ɑ̃piʀ,"n, masc"
aventure,adventure,avɑ̃tyʀ,"n, fem"
infirmière,nurse,ɛ̃fiʀmjɛʀ,"n, fem"
